PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, RDSD
Station name, Santo_DoDRCR2004
Begin Date, 2012-06-15
End Date, 2019-07-31
Release Date, 2019-08-02
Source file, RDSD.cwu.nam08.pos
Offset from source file, 0.81 mm North, 11.90 mm East, 3.16 mm Vertical
Reference position, 18.4613974205 North Latitude, -69.9113229501 East Longitude, -9.18318 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2017-03-18,7.78, 63.34, 8.58, 1.68, 1.78, 7.99, suppf,
2017-03-19,5.64, 66.22, 6.17, 1.61, 1.79, 7.66, suppf,
2017-03-20,4.19, 67.05, 13.20, 1.58, 1.71, 7.44, suppf,
2017-03-21,2.27, 66.80, 3.67, 1.6, 1.74, 7.5, suppf,
2017-03-22,3.37, 66.22, -1.46, 1.6, 1.76, 7.52, suppf,
2017-03-23,3.43, 67.04, -7.45, 1.66, 1.78, 7.73, suppf,
2017-03-24,2.01, 69.08, 2.90, 1.64, 1.73, 7.62, suppf,
2017-03-25,3.04, 65.53, 5.48, 1.63, 1.72, 7.58, suppf,
2017-03-26,3.36, 66.68, 15.07, 1.59, 1.71, 7.5, suppf,
2017-03-27,1.89, 67.03, 3.25, 1.76, 1.93, 8.13, suppf,
2017-03-28,2.67, 65.90, 7.35, 1.63, 1.82, 7.74, suppf,
2017-03-29,2.01, 67.96, -11.74, 1.7, 1.95, 8.21, suppf,
2017-03-30,4.46, 66.04, 11.18, 1.6, 1.75, 7.49, suppf,
2017-03-31,4.27, 67.14, 12.27, 1.58, 1.73, 7.52, suppf,
2017-04-01,4.93, 68.15, 1.56, 1.58, 1.7, 7.44, suppf,
2017-04-02,5.79, 67.68, 0.95, 1.58, 1.72, 7.5, suppf,
2017-04-03,5.60, 68.23, 5.37, 1.61, 1.74, 7.6, suppf,
2017-04-04,5.51, 66.52, 6.35, 1.63, 1.72, 7.73, suppf,
2017-04-05,4.12, 67.20, -1.98, 1.58, 1.7, 7.44, suppf,
2017-04-06,3.99, 67.57, 4.58, 1.58, 1.71, 7.5, suppf,
2017-04-07,3.40, 68.49, 1.78, 1.58, 1.71, 7.43, suppf,
2017-04-08,4.05, 67.56, 3.99, 1.58, 1.7, 7.52, suppf,
2017-04-09,3.68, 68.64, -1.82, 1.58, 1.72, 7.5, suppf,
2017-04-10,6.55, 65.67, 3.43, 1.68, 1.87, 8.17, suppf,
2017-04-11,5.59, 66.06, 2.87, 1.59, 1.72, 7.54, suppf,
2017-04-12,6.35, 65.51, 4.19, 1.6, 1.7, 7.47, suppf,
2017-04-13,3.92, 67.70, 4.88, 1.63, 1.72, 7.57, suppf,
2017-04-14,3.90, 68.43, 11.77, 1.61, 1.79, 7.77, suppf,
2017-04-15,6.89, 67.67, -3.12, 1.63, 1.84, 7.84, suppf,
2017-04-16,6.33, 69.06, 11.49, 1.58, 1.72, 7.53, suppf,
2017-04-17,3.47, 69.77, 8.59, 1.6, 1.71, 7.6, suppf,
2017-04-18,2.73, 67.45, 0.17, 1.7, 1.78, 8.11, suppf,
2017-04-19,4.69, 68.44, 4.73, 1.58, 1.7, 7.41, suppf,
2017-04-20,4.66, 68.79, 0.59, 1.58, 1.7, 7.45, suppf,
2017-04-21,5.54, 68.39, 7.98, 1.62, 1.7, 7.58, suppf,
2017-04-22,4.55, 68.22, 8.99, 1.6, 1.71, 7.56, suppf,
2017-04-23,2.89, 68.00, -4.31, 1.64, 1.75, 7.65, suppf,
2017-04-24,7.31, 68.06, 5.41, 1.66, 1.78, 7.82, suppf,
2017-04-25,3.00, 69.04, 8.77, 1.88, 2.02, 9, suppf,
2017-04-26,4.02, 65.85, 4.52, 1.71, 1.8, 8.15, suppf,
2017-04-27,0.92, 69.20, -6.73, 1.68, 1.82, 7.81, suppf,
2017-04-28,4.12, 67.69, 3.88, 1.68, 1.84, 7.98, suppf,
2017-04-29,1.01, 67.34, 1.07, 1.74, 1.82, 7.92, suppf,
2017-04-30,4.35, 68.96, 20.75, 1.78, 1.96, 8.42, suppf,
2017-05-01,1.83, 70.45, 7.15, 1.73, 1.85, 8.21, suppf,
2017-05-02,3.62, 68.17, 8.46, 1.63, 1.73, 7.71, suppf,
2017-05-03,6.39, 69.77, -8.17, 1.69, 1.77, 8.09, suppf,
2017-05-04,5.44, 70.08, 7.71, 1.59, 1.72, 7.51, suppf,
2017-05-05,4.52, 69.03, 2.53, 1.61, 1.75, 7.57, suppf,
2017-05-06,4.43, 69.24, 10.23, 1.58, 1.7, 7.43, suppf,
2017-05-07,4.75, 68.89, -1.26, 1.57, 1.7, 7.42, suppf,
2017-05-08,3.11, 70.50, 0.82, 1.59, 1.72, 7.47, suppf,
2017-05-09,7.82, 68.68, -2.34, 1.62, 1.77, 7.65, suppf,
2017-05-10,4.74, 68.06, 1.40, 1.63, 1.79, 7.72, suppf,
2017-05-11,4.73, 69.69, 10.82, 1.9, 2.01, 8.71, suppf,
2017-05-12,2.17, 71.78, 6.88, 1.58, 1.71, 7.46, suppf,
2017-05-13,8.48, 69.16, 4.48, 1.82, 2.26, 8.6, suppf,
2017-05-14,6.14, 69.83, 0.75, 1.75, 1.9, 8.21, suppf,
2017-05-15,4.00, 70.18, -5.02, 1.69, 1.82, 7.96, suppf,
2017-05-16,5.61, 67.90, 7.92, 1.69, 1.85, 7.91, suppf,
2017-05-17,4.75, 68.63, 0.34, 1.6, 1.72, 7.55, suppf,
2017-05-18,5.85, 69.65, 0.82, 1.72, 1.83, 8.24, suppf,
2017-05-19,4.92, 69.47, 8.50, 1.6, 1.77, 7.56, suppf,
2017-05-20,5.25, 71.06, 5.82, 1.67, 1.83, 7.94, suppf,
2017-05-21,4.34, 71.48, 2.84, 1.62, 1.76, 7.7, suppf,
2017-05-22,5.48, 72.70, -0.18, 1.75, 1.83, 8.17, suppf,
2017-05-23,5.64, 70.73, 2.08, 1.58, 1.72, 7.46, suppf,
2017-05-24,5.88, 68.54, 5.35, 1.64, 1.78, 7.61, suppf,
2017-05-25,5.45, 69.29, -2.99, 2.2, 2.49, 10.66, suppf,
2017-05-26,4.83, 68.70, 3.80, 1.62, 1.73, 7.58, suppf,
2017-05-27,5.13, 70.53, 0.71, 1.65, 1.9, 7.96, suppf,
2017-05-28,3.56, 68.40, -8.75, 1.6, 1.73, 7.63, suppf,
2017-05-29,3.73, 71.64, 3.36, 1.59, 1.74, 7.5, suppf,
2017-05-30,4.36, 69.62, -4.99, 1.75, 1.9, 8.19, suppf,
2017-05-31,3.61, 69.92, 2.63, 1.64, 1.77, 7.63, suppf,
2017-06-01,6.86, 69.17, 9.34, 1.64, 1.73, 7.77, suppf,
2017-06-02,4.93, 68.21, 12.17, 1.61, 1.73, 7.75, suppf,
2017-06-03,4.72, 67.83, 7.96, 1.7, 1.82, 8.01, suppf,
2017-06-04,6.36, 70.15, 10.24, 1.62, 1.71, 7.51, suppf,
2017-06-05,4.97, 69.68, -1.10, 1.62, 1.72, 7.53, suppf,
2017-06-06,5.38, 69.75, 12.98, 1.61, 1.72, 7.57, suppf,
2017-06-07,4.72, 69.61, 2.38, 1.63, 1.71, 7.65, suppf,
2017-06-08,5.28, 69.12, 7.16, 1.62, 1.73, 7.59, suppf,
2017-06-09,8.49, 67.69, 2.80, 1.68, 1.82, 7.84, suppf,
2017-06-10,4.70, 67.89, 3.84, 1.72, 1.83, 8.06, suppf,
2017-06-11,5.41, 71.18, 3.01, 1.72, 1.87, 7.91, suppf,
2017-06-12,5.60, 67.24, -0.76, 1.62, 1.74, 7.68, suppf,
2017-06-13,4.32, 68.13, 2.39, 1.73, 1.99, 8.09, suppf,
2017-06-14,4.15, 68.45, 11.88, 1.71, 1.75, 8, suppf,
2017-06-15,7.25, 69.45, 17.39, 1.86, 1.91, 8.86, suppf,
2017-06-16,5.24, 71.99, -0.89, 1.71, 1.87, 8.24, suppf,
2017-06-17,6.71, 72.58, 8.20, 1.59, 1.72, 7.48, suppf,
2017-06-18,3.86, 74.13, 1.55, 1.74, 1.87, 8.25, suppf,
2017-06-19,7.21, 71.95, 13.17, 1.71, 1.9, 8.04, suppf,
2017-06-20,8.59, 76.76, 15.31, 1.63, 1.76, 7.68, suppf,
2017-06-21,6.68, 69.70, 12.85, 1.66, 1.94, 8.16, suppf,
2017-06-22,6.39, 72.72, 6.79, 1.8, 2.19, 8.83, suppf,
2017-06-23,7.03, 72.26, 10.29, 2.39, 2.83, 11.2, suppf,
2017-06-24,4.76, 72.09, -1.18, 1.6, 1.73, 7.48, suppf,
2017-06-25,5.55, 74.62, -3.56, 1.65, 1.73, 7.58, suppf,
2017-06-26,5.74, 74.08, 1.44, 1.83, 1.88, 8.74, suppf,
2017-06-27,6.59, 72.75, -3.49, 1.63, 1.8, 7.64, suppf,
2017-06-28,9.31, 72.72, -4.84, 1.67, 1.82, 7.96, suppf,
2017-06-29,7.67, 74.83, -1.00, 1.67, 1.78, 8, suppf,
2017-06-30,6.07, 72.67, -8.10, 1.82, 1.9, 8.67, suppf,
2017-07-01,8.04, 71.92, -0.36, 1.67, 1.76, 7.95, suppf,
2017-07-02,6.30, 72.87, -4.19, 2, 2.29, 9.34, suppf,
2017-07-03,6.00, 76.43, -0.21, 1.67, 1.77, 7.94, suppf,
2017-07-04,7.86, 75.20, -5.64, 1.67, 1.75, 7.86, suppf,
2017-07-05,8.85, 70.49, -4.34, 1.59, 1.72, 7.5, suppf,
2017-07-06,7.38, 75.10, 4.18, 1.74, 1.82, 8.12, suppf,
2017-07-07,5.67, 76.66, -4.40, 1.82, 2.19, 8.65, suppf,
2017-07-08,7.20, 74.77, -7.29, 1.61, 1.76, 7.65, suppf,
2017-07-09,9.99, 73.26, -17.60, 1.74, 1.88, 8.33, suppf,
2017-07-10,6.93, 73.35, -0.27, 1.59, 1.73, 7.51, suppf,
2017-07-11,8.86, 73.16, 7.85, 1.61, 1.73, 7.55, suppf,
2017-07-12,8.93, 74.44, -4.67, 1.62, 1.76, 7.7, suppf,
2017-07-13,8.16, 73.35, -2.93, 1.6, 1.74, 7.72, suppf,
2017-07-14,8.90, 69.95, -28.73, 1.81, 1.99, 8.69, suppf,
2017-07-15,6.95, 73.65, 8.93, 1.73, 1.87, 8.2, suppf,
2017-07-16,8.45, 74.83, 11.68, 1.6, 1.76, 7.62, suppf,
2017-07-17,9.49, 78.61, -2.35, 1.71, 1.82, 8.14, suppf,
2017-07-18,5.06, 73.74, -2.78, 1.81, 1.95, 8.48, suppf,
2017-07-19,7.27, 75.53, -3.18, 1.61, 1.72, 7.58, suppf,
2017-07-20,8.25, 74.70, -1.32, 1.64, 1.71, 7.6, suppf,
2017-07-21,8.43, 76.03, -1.85, 1.98, 2.25, 9.41, suppf,
2017-07-22,9.90, 74.01, 8.09, 1.64, 1.83, 7.98, suppf,
2017-07-23,9.00, 75.14, -0.07, 1.59, 1.72, 7.53, suppf,
2017-07-24,9.57, 74.35, -0.52, 1.58, 1.7, 7.42, suppf,
2017-07-25,7.43, 74.22, 4.63, 1.88, 2.21, 9.05, suppf,
2017-07-26,7.94, 73.95, 6.89, 1.66, 1.89, 8.1, suppf,
2017-07-27,7.84, 73.40, 1.07, 1.7, 1.8, 8.06, suppf,
2017-07-28,8.88, 75.85, 10.75, 1.6, 1.72, 7.54, suppf,
2017-07-29,8.35, 72.91, 7.37, 1.66, 1.71, 7.82, suppf,
2017-07-30,9.20, 75.93, 5.13, 1.7, 1.83, 8.19, suppf,
2017-07-31,9.05, 75.10, 4.02, 1.63, 1.74, 7.74, suppf,
2017-08-01,8.92, 75.11, -11.83, 1.63, 1.77, 7.67, suppf,
2017-08-02,10.24, 73.73, 3.51, 1.66, 1.71, 7.67, suppf,
2017-08-03,8.48, 77.38, -6.12, 1.75, 2.03, 8.24, suppf,
2017-08-04,7.64, 75.64, -5.77, 1.9, 2.26, 9.08, suppf,
2017-08-05,7.64, 76.27, -7.91, 1.72, 1.99, 8.31, suppf,
2017-08-06,6.23, 82.37, -6.17, 1.75, 2.03, 8.28, suppf,
2017-08-07,8.79, 75.36, -5.04, 1.64, 1.75, 7.78, suppf,
2017-08-08,9.65, 74.59, -9.10, 1.72, 1.83, 8.34, suppf,
2017-08-09,7.60, 75.92, -0.59, 1.59, 1.71, 7.51, suppf,
2017-08-10,8.87, 75.00, 6.81, 1.87, 2.37, 9.01, suppf,
2017-08-11,10.95, 75.71, -4.25, 1.63, 1.8, 7.83, suppf,
2017-08-12,8.46, 78.83, 2.49, 1.65, 1.81, 7.83, suppf,
2017-08-13,8.49, 75.05, -2.04, 1.7, 2.01, 8.19, suppf,
2017-08-14,8.14, 76.47, 5.52, 1.63, 1.8, 7.86, suppf,
2017-08-15,6.89, 75.88, -13.17, 1.76, 2.07, 8.17, suppf,
2017-08-16,7.81, 76.45, 6.25, 1.59, 1.71, 7.49, suppf,
2017-08-17,6.25, 78.23, 4.88, 1.7, 1.82, 8.2, suppf,
2017-08-18,7.62, 74.19, 15.38, 1.69, 1.86, 8.19, suppf,
2017-08-19,9.98, 75.33, 0.51, 1.95, 2.21, 9.21, suppf,
2017-08-20,8.44, 74.97, 4.47, 1.7, 1.84, 8.18, suppf,
2017-08-21,9.06, 76.90, 5.64, 1.63, 1.9, 7.85, suppf,
2017-08-22,8.75, 76.71, 2.69, 1.61, 1.75, 7.6, suppf,
2017-08-23,7.62, 74.45, 3.29, 1.66, 1.8, 7.76, suppf,
2017-08-24,8.30, 77.70, 2.52, 1.62, 1.72, 7.65, suppf,
2017-08-25,5.47, 77.10, 5.20, 1.66, 1.86, 7.97, suppf,
2017-08-26,9.92, 73.33, 10.10, 1.7, 2.04, 8.22, suppf,
2017-08-27,6.80, 77.17, -5.62, 1.62, 1.77, 7.73, suppf,
2017-08-28,4.86, 76.84, -8.93, 1.69, 1.81, 8.16, suppf,
2017-08-29,7.51, 75.74, 2.10, 1.6, 1.73, 7.66, suppf,
2017-08-30,7.52, 75.43, 0.09, 1.68, 1.81, 7.91, suppf,
2017-08-31,9.54, 77.69, 3.84, 1.64, 1.77, 7.7, suppf,
2017-09-01,9.00, 73.87, -3.09, 1.66, 1.81, 7.71, suppf,
2017-09-02,9.94, 76.92, 4.27, 1.77, 2.13, 8.56, suppf,
2017-09-03,7.41, 75.97, -5.79, 1.68, 1.85, 8.06, suppf,
2017-09-04,8.50, 79.04, 4.86, 1.86, 2.3, 8.81, suppf,
2017-09-05,10.18, 76.08, 9.62, 1.65, 1.8, 7.88, suppf,
2017-09-06,8.68, 73.67, 0.33, 1.87, 2.24, 8.93, suppf,
2017-09-07,8.08, 77.20, 12.34, 1.77, 1.94, 8.32, suppf,
2017-09-08,6.55, 75.87, 15.59, 1.71, 1.89, 8.31, suppf,
2017-09-09,8.99, 73.85, -2.74, 1.66, 1.73, 7.79, suppf,
2017-09-10,7.55, 77.07, 1.09, 1.6, 1.7, 7.5, suppf,
2017-09-11,7.33, 77.65, -2.98, 1.59, 1.7, 7.43, suppf,
2017-09-12,10.74, 76.82, 9.16, 2.2, 2.09, 10.21, suppf,
2017-09-13,9.74, 73.98, 6.52, 1.87, 1.92, 8.81, suppf,
2017-09-14,8.51, 77.85, -3.72, 1.69, 1.78, 7.78, suppf,
2017-09-15,6.73, 78.88, -3.90, 1.77, 1.91, 8.22, suppf,
2017-09-16,8.99, 78.09, 4.60, 1.86, 1.99, 9.15, suppf,
2017-09-17,8.24, 77.52, -2.17, 1.62, 1.73, 7.7, suppf,
2017-09-18,8.84, 78.47, -0.63, 1.76, 1.88, 8.26, suppf,
2017-09-19,9.81, 75.17, 5.50, 1.67, 1.86, 7.98, suppf,
2017-09-20,7.61, 76.71, 12.15, 1.64, 1.77, 7.72, suppf,
2017-09-21,0.40, 67.99, 57.43, 6.59, 7.47, 28.49, suppf,
2017-09-22,8.21, 72.57, 17.64, 2.54, 2.47, 12.1, suppf,
2017-09-23,5.68, 78.69, 4.21, 1.68, 1.84, 8.02, suppf,
2017-09-24,1.23, 75.87, 23.56, 3.45, 4.12, 16.56, suppf,
2017-09-25,5.16, 79.35, 12.53, 2.57, 2.46, 12.19, suppf,
2017-09-26,7.69, 77.23, 5.46, 2.24, 2.26, 10.78, suppf,
2017-09-27,8.73, 78.54, 5.91, 1.65, 1.75, 7.97, suppf,
2017-09-28,8.00, 78.71, 1.77, 1.59, 1.72, 7.48, suppf,
2017-09-29,9.47, 78.37, -4.06, 1.63, 1.77, 7.76, suppf,
2017-09-30,6.03, 78.98, -5.78, 1.66, 1.78, 7.75, suppf,
2017-10-01,7.67, 80.65, 6.35, 1.63, 1.8, 7.79, suppf,
2017-10-02,7.21, 78.66, -5.38, 1.61, 1.77, 7.74, suppf,
2017-10-03,3.89, 78.30, 14.70, 1.85, 1.97, 9.08, suppf,
2017-10-04,8.74, 80.23, -1.69, 1.71, 1.93, 8, suppf,
2017-10-05,9.87, 78.31, 2.70, 1.6, 1.71, 7.48, suppf,
2017-10-06,9.59, 79.77, 1.51, 1.78, 1.9, 8.44, suppf,
2017-10-07,8.46, 79.59, -5.89, 1.81, 1.96, 8.37, suppf,
2017-10-08,9.69, 77.29, -1.54, 1.71, 1.87, 8.19, suppf,
2017-10-09,9.43, 78.49, 1.57, 1.67, 1.96, 8.08, suppf,
2017-10-10,8.22, 78.46, -3.41, 1.58, 1.74, 7.52, suppf,
2017-10-11,8.26, 78.03, 5.44, 1.57, 1.72, 7.43, suppf,
2017-10-12,10.25, 76.59, -7.97, 1.81, 2.08, 8.92, suppf,
2017-10-13,6.63, 79.70, -4.29, 1.78, 1.9, 8.5, suppf,
2017-10-14,7.10, 78.84, -0.72, 1.77, 2.13, 8.37, suppf,
2017-10-15,9.17, 78.39, -11.82, 1.67, 1.84, 7.86, suppf,
2017-10-16,8.14, 78.90, -7.95, 1.73, 1.9, 8.05, suppf,
2017-10-17,10.17, 78.28, -4.24, 1.67, 1.89, 8.07, suppf,
2017-10-18,11.49, 76.99, -7.10, 1.62, 1.75, 7.71, suppf,
2017-10-19,11.09, 79.95, 3.26, 1.76, 1.83, 8.24, suppf,
2017-10-20,10.35, 77.37, 14.77, 1.76, 1.9, 8.31, suppf,
2017-10-21,7.38, 79.13, -3.10, 1.63, 1.77, 7.7, suppf,
2017-10-22,10.33, 76.05, -6.40, 1.74, 1.91, 8.24, suppf,
2017-10-23,11.40, 75.81, -12.66, 1.67, 1.79, 8.02, suppf,
2017-10-24,7.94, 79.48, 4.80, 1.67, 1.87, 7.82, suppf,
2017-10-25,8.50, 78.99, 2.53, 1.63, 1.74, 7.57, suppf,
2017-10-26,7.99, 79.48, -0.45, 1.6, 1.73, 7.44, suppf,
2017-10-27,9.60, 78.31, -1.13, 1.66, 1.81, 7.87, suppf,
2017-10-28,8.04, 78.10, 5.23, 2.07, 2.52, 9.79, suppf,
2017-10-29,9.17, 78.62, -2.97, 1.6, 1.75, 7.61, suppf,
2017-10-30,8.87, 80.52, 3.02, 1.94, 2.18, 9, suppf,
2017-10-31,9.27, 80.43, 0.90, 1.6, 1.74, 7.48, suppf,
2017-11-01,10.58, 79.65, 11.27, 1.7, 1.89, 7.99, suppf,
2017-11-02,8.86, 80.38, 10.06, 1.63, 1.78, 7.7, suppf,
2017-11-03,9.14, 79.97, 5.17, 1.61, 1.76, 7.64, suppf,
2017-11-04,7.44, 78.89, 2.82, 1.64, 1.83, 7.86, suppf,
2017-11-05,8.88, 80.49, -4.88, 1.68, 1.86, 7.91, suppf,
2017-11-06,9.54, 77.95, 9.82, 1.67, 1.91, 7.93, suppf,
2017-11-07,10.22, 77.70, 9.55, 1.66, 1.87, 7.99, suppf,
2017-11-08,7.87, 80.63, -7.79, 1.63, 1.77, 7.8, suppf,
2017-11-09,9.32, 80.01, 2.03, 1.64, 1.79, 7.85, suppf,
2017-11-10,6.35, 79.69, -9.88, 1.64, 1.77, 7.69, suppf,
2017-11-11,8.30, 80.07, 1.65, 1.69, 1.76, 7.94, suppf,
2017-11-12,3.64, 79.20, -7.64, 1.7, 1.85, 7.99, suppf,
2017-11-13,8.20, 78.45, 3.06, 1.6, 1.76, 7.58, suppf,
2017-11-14,9.10, 82.69, -2.72, 1.72, 1.9, 8.24, suppf,
2017-11-15,6.69, 80.34, -13.15, 1.73, 1.91, 8.38, suppf,
2017-11-16,8.23, 78.46, -3.09, 1.65, 1.79, 7.79, suppf,
2017-11-17,8.21, 78.76, 1.43, 1.6, 1.76, 7.52, suppf,
2017-11-18,9.55, 79.23, 8.31, 1.6, 1.75, 7.54, suppf,
2017-11-19,8.68, 79.42, -3.63, 1.63, 1.81, 7.7, suppf,
2017-11-20,9.22, 80.84, -0.03, 1.6, 1.74, 7.5, suppf,
2017-11-21,9.53, 79.01, 4.68, 1.59, 1.75, 7.5, suppf,
2017-11-22,9.17, 80.52, 7.89, 1.59, 1.74, 7.46, suppf,
2017-11-23,8.89, 81.53, 3.35, 1.58, 1.73, 7.43, suppf,
2017-11-24,10.89, 80.66, 5.59, 1.58, 1.73, 7.43, suppf,
2017-11-25,9.26, 81.16, -6.13, 1.61, 1.75, 7.57, suppf,
2017-11-26,8.62, 79.84, 6.47, 1.58, 1.73, 7.49, suppf,
2017-11-27,10.80, 79.00, 5.29, 1.59, 1.75, 7.5, suppf,
2017-11-28,9.41, 80.77, 5.43, 1.59, 1.74, 7.5, suppf,
2017-11-29,9.11, 81.71, 5.09, 1.58, 1.73, 7.46, suppf,
2017-11-30,8.78, 81.33, -1.82, 1.62, 1.83, 7.79, suppf,
2017-12-01,7.19, 81.88, 6.72, 1.65, 1.84, 7.79, suppf,
2017-12-02,11.23, 81.41, 0.76, 1.88, 2.11, 9.11, suppf,
2017-12-03,8.30, 79.28, 5.58, 1.59, 1.73, 7.5, suppf,
2017-12-04,8.94, 80.11, 10.98, 1.59, 1.72, 7.44, suppf,
2017-12-05,8.91, 79.77, 1.36, 1.84, 2.04, 8.95, suppf,
2017-12-06,11.46, 81.50, 10.10, 1.8, 2.01, 8.97, suppf,
2017-12-07,7.33, 79.48, 2.73, 1.97, 2.09, 9.53, suppf,
2017-12-08,7.24, 79.10, 2.42, 1.65, 1.77, 7.94, suppf,
2017-12-09,8.66, 81.02, 5.59, 1.63, 1.81, 7.64, suppf,
2017-12-10,9.76, 81.91, 1.73, 1.63, 1.73, 7.6, suppf,
2017-12-11,6.44, 82.49, 7.93, 1.66, 1.73, 7.85, suppf,
2017-12-12,8.43, 82.03, 1.41, 1.58, 1.72, 7.46, suppf,
2017-12-13,8.93, 81.54, 4.55, 1.58, 1.71, 7.42, suppf,
2017-12-14,7.21, 81.43, 3.23, 1.65, 1.81, 7.83, suppf,
2017-12-15,7.97, 80.95, -8.09, 1.61, 1.72, 7.66, suppf,
2017-12-16,9.42, 79.74, -1.54, 1.63, 1.77, 7.6, suppf,
2017-12-17,8.36, 80.45, -2.64, 1.59, 1.71, 7.48, suppf,
2017-12-18,9.08, 81.61, 8.90, 1.61, 1.72, 7.56, suppf,
2017-12-19,9.16, 80.18, 11.71, 1.62, 1.77, 7.59, suppf,
2017-12-20,7.50, 80.84, 7.14, 1.63, 1.78, 7.64, suppf,
2017-12-21,8.01, 79.89, 19.34, 1.67, 1.75, 7.88, suppf,
2017-12-22,6.99, 81.73, -1.60, 1.9, 2.13, 8.96, suppf,
2017-12-23,4.74, 78.04, 10.29, 1.62, 1.78, 7.63, suppf,
2017-12-24,9.49, 80.79, 14.98, 1.87, 2.1, 8.59, suppf,
2017-12-25,7.42, 81.01, 17.32, 1.61, 1.8, 7.67, suppf,
2017-12-26,6.75, 82.34, -1.56, 1.85, 2.19, 8.77, suppf,
2017-12-27,9.21, 82.53, -4.81, 1.8, 2.06, 8.61, suppf,
2017-12-28,6.05, 81.01, -8.13, 1.7, 1.84, 7.85, suppf,
2017-12-29,6.79, 80.70, 1.28, 1.67, 1.81, 7.78, suppf,
2017-12-30,7.27, 81.82, -6.03, 1.59, 1.73, 7.49, suppf,
2017-12-31,8.45, 81.59, -3.32, 1.59, 1.71, 7.36, suppf,
2018-01-01,8.58, 82.54, -7.94, 1.61, 1.73, 7.47, suppf,
2018-01-02,7.64, 83.57, -7.96, 1.59, 1.72, 7.4, suppf,
2018-01-03,7.44, 81.43, 4.56, 1.59, 1.75, 7.47, suppf,
2018-01-04,7.18, 85.69, -8.08, 1.64, 1.8, 7.7, suppf,
2018-01-05,7.11, 83.55, 0.80, 1.62, 1.73, 7.56, suppf,
2018-01-06,7.81, 81.75, -2.47, 1.62, 1.74, 7.59, suppf,
2018-01-07,9.37, 81.27, -4.87, 1.68, 1.81, 7.82, suppf,
2018-01-08,9.66, 84.02, 1.88, 1.71, 1.79, 7.98, suppf,
2018-01-09,9.46, 80.61, 12.59, 1.68, 1.9, 7.88, suppf,
2018-01-10,0.68, 88.18, -28.89, 179.74, 190.44, 405.09, suppf,
2018-01-11,-17.70, 84.59, -48.47, 162.09, 159.17, 372.4, suppf,
2018-01-12,13.98, 93.37, 5.51, 129.81, 188.9, 305.6, suppf,
2018-01-13,7.15, 74.37, 15.82, 180.04, 190.5, 406.23, suppf,
2018-01-14,7.80, 84.65, 3.04, 1.72, 1.91, 7.95, suppf,
2018-01-15,8.52, 79.09, -1.07, 1.89, 2.14, 9.12, suppf,
2018-01-16,7.24, 82.68, -3.96, 1.67, 1.89, 7.95, suppf,
2018-01-17,8.96, 81.28, -3.50, 1.59, 1.72, 7.38, suppf,
2018-01-18,8.22, 84.85, 1.54, 1.58, 1.71, 7.38, suppf,
2018-01-19,9.79, 83.03, 4.81, 1.75, 1.9, 8.05, suppf,
2018-01-20,8.13, 82.95, 11.04, 1.73, 1.97, 8.14, suppf,
2018-01-21,8.26, 82.29, -6.35, 1.62, 1.78, 7.56, suppf,
2018-01-22,8.99, 80.57, -4.11, 1.58, 1.71, 7.39, suppf,
2018-01-23,10.71, 82.57, -4.24, 1.75, 1.85, 8.07, suppf,
2018-01-24,6.39, 81.55, -7.30, 1.8, 1.96, 8.71, suppf,
2018-01-25,7.36, 84.81, -1.03, 1.64, 1.8, 7.99, suppf,
2018-01-26,8.64, 82.44, -4.19, 1.63, 1.74, 7.76, suppf,
2018-01-27,8.81, 83.09, -14.16, 1.66, 1.86, 8.16, suppf,
2018-01-28,9.27, 83.59, 5.05, 1.67, 1.85, 8, suppf,
2018-01-29,6.87, 84.05, -2.33, 1.63, 1.81, 7.85, suppf,
2018-01-30,7.68, 84.37, -4.83, 1.62, 1.75, 7.77, suppf,
2018-01-31,10.71, 81.59, -3.64, 1.65, 1.81, 7.86, suppf,
2018-02-01,10.69, 84.15, 0.25, 1.62, 1.75, 7.71, suppf,
2018-02-02,8.60, 84.84, -0.52, 1.61, 1.76, 7.68, suppf,
2018-02-03,10.31, 85.17, -0.78, 1.65, 1.87, 7.91, suppf,
2018-02-04,11.06, 83.79, 3.42, 1.62, 1.74, 7.72, suppf,
2018-02-05,9.29, 83.83, -6.74, 1.68, 1.76, 7.96, suppf,
2018-02-06,9.51, 85.93, -0.12, 1.92, 2.11, 9.32, suppf,
2018-02-07,8.84, 82.64, -3.56, 1.71, 1.96, 8.25, suppf,
2018-02-08,10.27, 85.07, -4.60, 1.8, 2.06, 8.74, suppf,
2018-02-09,9.50, 83.10, -27.46, 1.82, 2.11, 8.93, suppf,
2018-02-10,8.58, 86.72, -7.18, 1.78, 1.95, 8.57, suppf,
2018-02-11,8.74, 85.91, -16.14, 1.83, 2.11, 8.88, suppf,
2018-02-12,8.11, 87.66, 7.16, 1.86, 2.06, 9, suppf,
2018-02-13,8.86, 84.22, -12.90, 1.74, 1.94, 8.48, suppf,
2018-02-14,5.00, 84.77, -7.85, 1.79, 1.96, 8.55, suppf,
2018-02-15,7.66, 84.51, -1.10, 1.63, 1.74, 7.78, suppf,
